代码,价格变动幅度(较5天前),价格变动幅度(较10天前),价格变动幅度(较1个月前),价格变动幅度(较3个月前),价格变动幅度(较6个月前),价格变动幅度(较12个月前)
000063.SZ,-5.9093893631,-1.74837161467,7.34082397004,21.1327134404,66.1449275362,91.577540107
002194.SZ,0.0,0.0,57.5599582899,93.2225063939,49.603960396,-27.1456123433
002281.SZ,0.770166193758,-6.18867924528,-6.85650056201,39.1937290034,23.9900249377,-5.69918299862
002313.SZ,-0.905797101449,-0.218898212331,5.19230769231,31.7437379576,29.5072459684,13.9857782868
002396.SZ,1.36674259681,3.87488328665,11.3613613614,20.1403887689,19.7442364152,13.5442810272
002417.SZ,-3.75722543353,-6.65732305536,-6.26319493315,-14.064516129,-14.064516129,-27.7265328269
002446.SZ,-3.03490136571,-6.85131195335,4.6683046683,3.73376623377,4.22770094893,-21.6135678362
002544.SZ,-4.85661424607,-8.78048780488,-11.5649183147,6.85714285714,-8.42120173128,-31.2318139211
002547.SZ,-1.87845303867,0.11273957159,-1.55210643016,-18.4573002755,-18.4573055607,-17.016085845
002792.SZ,-1.00567302733,-4.28820742957,-6.11396429445,24.5215698994,16.9407737524,-31.620606529
300025.SZ,-4.33673469388,-13.1944444444,-12.6891734575,10.6194690265,-27.8921913757,-37.8360427715
300038.SZ,-1.0372931588,-4.27615862398,-4.95730550285,10.5379310345,4.95023572551,-13.1744312026
300134.SZ,-9.2050209205,-18.2894029048,-19.1591271953,-34.9743150685,-34.9743150685,-49.4222832584
300136.SZ,-0.812312954254,8.53801169591,12.3486682809,18.246687054,39.0130048265,78.960501591
300252.SZ,-3.70544090056,-10.5446623094,-12.7867459643,-5.17321016166,-13.1586216601,-43.6480126893
300308.SZ,0.821052631579,-1.0945890128,5.11413520632,17.6658476658,39.0532374407,61.8372983051
300312.SZ,-2.11833455077,-5.56730091614,-5.23338048091,30.4771178189,9.47712418301,-13.1561892417
300319.SZ,-2.95930949445,-14.9189189189,-14.6420824295,2.6075619296,-17.1986623642,-35.0954688957
300322.SZ,-6.30961115187,-5.61714708056,-3.11077389985,-24.9706227967,-24.9706276576,-34.5316889233
300394.SZ,-2.56786500367,-5.27817403709,-7.06787963611,20.5628688153,-0.938111150451,-31.6666909614
300493.SZ,1.17111255693,-4.24876847291,-5.52855407047,33.2476435304,9.04628330996,-32.1046732005
300502.SZ,0.324569944823,-14.4004430906,-12.9295774648,53.8576406172,16.1397000623,-29.8349985311
300548.SZ,-5.20961234871,-9.75283901136,-10.942649967,28.6666666667,-3.68257868561,64.42300849
300565.SZ,-2.67956829178,-10.9635682669,-2.31602540157,40.2144772118,2.33275339542,108.632520174
300597.SZ,-7.95159896283,-16.5033320267,10.4771784232,47.5069252078,9.75617035512,167.90984799
300615.SZ,-2.47417074497,-11.4539619847,-10.6600249066,22.2563053851,-11.8149444714,75.7734021266
300620.SZ,0.428211586902,-5.67778566359,-5.81148121899,24.6716697936,-3.46246973366,142.223572296
300635.SZ,-5.20989505247,-11.6660845267,-16.747043767,46.0683636435,10.4973849864,127.312445572
300638.SZ,-4.65328467153,-11.4031369224,-1.08849976337,43.0527036277,56.7891972993,177.740863787
600198.SH,0.267737617135,-3.54153251771,-5.30973451327,11.0452186805,-12.0892018779,-21.5706806283
600485.SH,0.0,0.0,0.0,0.0,1.12774511285e-05,-18.344509807
600487.SH,-1.87298800117,-2.52906976744,2.72671568627,26.00526118,36.8187393632,69.7821251574
600498.SH,-2.12566427008,-3.30450895615,10.1688951443,31.7206562894,27.7551507423,11.4383525422
600522.SH,-1.34932533733,-2.01042442293,-2.51851851852,15.6414762001,13.1768241072,19.6003735835
600776.SH,-2.94117647059,-11.01992966,1.47058823529,18.59375,4.57601766993,-23.3737287944
603042.SH,-6.67043527417,-9.78142076503,-5.27825588067,42.8200692042,103.701418877,103.701418877
603322.SH,-4.95495495495,-8.72672559714,-5.14073494918,24.3084016393,-20.1650825152,-31.2297436855
603602.SH,-9.45729666812,-8.5928319624,-4.65757622185,184.675205855,184.675205855,184.675205855
603803.SH,-2.54697286013,-4.26579163249,-2.79050395668,16.0616608652,7.35970561178,18.1174089069
002491.SZ,-3.11368573497,-4.76868327402,-4.83641536273,4.53125,-7.20258758925,-27.8851472834
000070.SZ,-2.7731092437,-5.93495934959,2.75310834814,9.77229601518,-2.13330592209,-26.1565452951
002384.SZ,2.76943610277,12.6554498903,16.2264150943,29.4117647059,47.1571906355,41.935483871
000636.SZ,-3.47448425624,-6.51945320715,-10.7429718876,3.13225058005,-1.31401314112,-13.7333532105
002138.SZ,-2.97914597815,-4.44987775061,-8.21982151245,4.26054797601,0.336193677829,2.10194449825
600171.SH,-1.42109199701,-3.72534696859,-2.658788774,6.63430420712,11.7124272625,-13.9217151081
000733.SZ,-0.293772032902,-0.469208211144,-0.176470588235,10.1232965607,6.80506064499,-14.0704739356
603010.SH,-0.241212956582,-4.76973684211,-6.58276863504,-11.4408075864,-28.2705762946,10.9564522943
002359.SZ,-1.12068965517,-2.34142188165,2.50223413762,6.8009914682,0.264957534174,34.6444819925
600703.SH,3.0853761623,5.67590987868,15.1558073654,24.8208802456,53.7944409073,102.573943118
300602.SZ,4.33363015732,3.53460972018,12.8410914928,72.6000491039,54.935355839,230.127021087
300433.SZ,-1.03828682674,6.98000701508,4.30916552668,-6.44171779141,11.9298594681,41.9249842211
002426.SZ,0.0,0.0,0.0,0.0,-8.17436329736e-06,-26.2955914375
600050.SH,-3.05131761442,-4.50819672131,-5.66801619433,-6.42570281124,-6.42570281124,30.4104477612
600804.SH,-0.46490004649,1.56546489564,12.8029504742,28.8982540638,9.20657910341,-2.47300539456
002115.SZ,-3.77358490566,-13.2793522267,3.07988450433,21.2910532276,2.68455873962,-7.42565038286
600260.SH,-3.6769138035,-3.35651648019,0.883838383838,19.6555597155,61.4141414141,110.401579987
