代码,价格变动幅度(较5天前),价格变动幅度(较10天前),价格变动幅度(较1个月前),价格变动幅度(较3个月前),价格变动幅度(较6个月前),价格变动幅度(较12个月前)
000063.SZ,4.42%,7.63%,23.72%,33.01%,80.77%,106.79%
002194.SZ,0.00%,0.00%,91.99%,91.75%,37.99%,-23.88%
002281.SZ,-6.91%,-2.95%,3.22%,32.99%,13.17%,-9.29%
002313.SZ,0.69%,0.88%,7.81%,44.28%,26.85%,13.14%
002396.SZ,2.47%,6.55%,12.05%,24.65%,16.63%,12.01%
002417.SZ,-3.01%,-7.11%,5.89%,-10.71%,-10.71%,-22.03%
002446.SZ,-3.94%,-5.65%,17.36%,13.62%,4.20%,-18.31%
002544.SZ,-4.12%,-6.73%,-6.65%,11.85%,-11.28%,-28.72%
002547.SZ,2.03%,-2.16%,1.69%,-16.90%,-16.90%,-15.66%
002792.SZ,-3.32%,-11.20%,6.22%,27.61%,13.75%,-28.66%
300025.SZ,-9.26%,-13.08%,3.84%,16.15%,-24.62%,-36.38%
300038.SZ,-3.27%,-6.45%,-6.08%,3.85%,1.86%,-11.05%
300134.SZ,-10.01%,-11.99%,-8.58%,-28.38%,-28.38%,-43.92%
300136.SZ,9.43%,11.38%,13.88%,26.16%,45.24%,78.09%
300252.SZ,-7.10%,-10.91%,2.11%,-1.52%,-17.81%,-41.27%
300308.SZ,-1.90%,-2.24%,15.97%,19.32%,39.54%,97.23%
300312.SZ,-3.52%,-9.28%,12.12%,35.41%,9.70%,-11.22%
300319.SZ,-12.32%,-13.26%,-1.34%,6.43%,-19.87%,-33.06%
300322.SZ,0.74%,1.41%,3.97%,-19.92%,-19.92%,-29.91%
300394.SZ,-2.78%,-8.28%,6.73%,20.89%,-1.66%,-28.61%
300493.SZ,-5.36%,-10.54%,-3.64%,33.65%,-1.54%,-30.46%
300502.SZ,-14.68%,-9.89%,0.62%,48.48%,12.09%,-26.29%
300548.SZ,-4.79%,-8.71%,18.06%,29.13%,2.06%,154.03%
300565.SZ,-8.51%,-9.25%,18.47%,39.73%,4.26%,114.38%
300597.SZ,-9.29%,-9.29%,41.10%,59.37%,19.61%,191.05%
300615.SZ,-9.21%,-11.39%,5.51%,25.92%,-13.72%,80.23%
300620.SZ,-6.08%,-10.22%,-1.54%,22.27%,-4.73%,141.19%
300635.SZ,-6.81%,-4.75%,-19.26%,48.83%,16.83%,139.81%
300638.SZ,-7.08%,-12.41%,26.19%,45.17%,140.61%,191.30%
600198.SH,-3.80%,-6.74%,5.14%,21.46%,-13.04%,-23.74%
600485.SH,0.00%,0.00%,0.00%,0.00%,0.00%,-14.77%
600487.SH,-0.67%,-0.67%,10.80%,34.11%,37.92%,65.99%
600498.SH,-1.20%,-1.87%,15.03%,38.03%,31.32%,13.14%
600522.SH,-0.67%,-6.65%,5.96%,22.78%,17.74%,20.58%
600776.SH,-8.32%,-2.49%,13.01%,26.33%,-1.78%,-17.41%
603042.SH,-3.33%,-3.81%,10.46%,51.59%,118.26%,118.26%
603322.SH,-3.97%,-9.85%,13.90%,29.17%,-33.60%,-30.94%
603602.SH,0.95%,11.18%,14.59%,214.41%,214.41%,214.41%
603803.SH,-1.76%,-6.77%,12.76%,16.04%,21.20%,21.20%
002491.SZ,-1.71%,-3.83%,4.54%,8.23%,-5.59%,-25.57%
000070.SZ,-3.25%,-6.59%,12.16%,17.47%,-1.30%,-24.07%
002384.SZ,9.62%,4.35%,12.25%,35.61%,44.09%,39.72%
000636.SZ,-3.15%,-2.75%,-4.66%,12.32%,-4.73%,-11.06%
002138.SZ,-1.52%,-3.36%,-5.49%,10.74%,5.67%,7.75%
600171.SH,-2.34%,-4.43%,7.91%,21.55%,3.27%,-11.41%
000733.SZ,-0.18%,2.22%,0.53%,13.54%,0.61%,-13.38%
603010.SH,-4.54%,0.59%,-5.56%,-28.10%,-28.10%,8.13%
002359.SZ,-1.23%,-1.23%,0.22%,7.01%,4.88%,38.76%
600703.SH,2.51%,2.25%,10.10%,25.72%,53.40%,96.83%
300602.SZ,-0.77%,6.53%,8.68%,62.95%,46.34%,216.41%
300433.SZ,8.10%,7.05%,5.40%,10.47%,19.25%,48.76%
002426.SZ,0.00%,0.00%,0.00%,0.00%,-0.00%,-23.58%
600050.SH,-1.50%,-2.83%,-1.37%,-3.48%,-3.48%,42.49%
600804.SH,2.04%,8.58%,13.33%,33.44%,12.04%,3.39%
002115.SZ,-9.88%,0.00%,9.66%,27.93%,6.71%,-3.80%
600260.SH,0.33%,3.33%,-2.81%,28.55%,56.51%,121.50%
