代码,股票简称,市盈率(TTM|扣除),市净率(最新公告),总资产收益率,净资产收益率(扣除|摊薄),销售毛利率,期间费用率,成本费用利润率,减值损失/营业利润,稀释每股收益(同比增长率),每股经营净现金流量(同比增长率),营业利润(同比增长率),归属母公司净利润(扣除|同比增长率),经营净现金流量(同比增长率),净资产收益率(摊薄|同比增长率),净资产(同比增长率),营业利润(3年增长率),归属母公司净利润(扣除|3年增长率),经营净现金流量(3年增长率),净资产收益率(3年增长率)
000063.SZ,中兴通讯,51.308444283,3.2419128418,1.7765,5.1184,32.5174,13.6889,5.80097273343,31.1153754102,30.9523809524,-275.44,565.4248,16.63,-278.6274,36.5507,-4.94027495213,1669.45331804,109.320994011,-688.074804036,27.3639086024
002194.SZ,武汉凡谷,-18.7785657585,4.83881998062,-9.3958,-15.3242,-10.5086,15.8439,-23.4363631443,-6.53949793811,-4871.26436782,-88.2066,-1684.0064,-7343.53,-91.1995,-5730.7794,-13.639064845,-480.569618488,-646.525806092,-90.6509552413,-563.884340578
002281.SZ,光迅科技,59.0229928352,5.61980581284,3.5623,5.766,18.7673,11.4232,7.81311379619,4.29639937972,12.2532894737,-311.4286,30.5514,31.52,-1136.3265,4.2662,7.58338177178,96.3807601327,85.7029192181,56.1360083945,5.10168179579
002313.SZ,日海通讯,189.756256473,4.61502599716,0.7694,0.2681,22.0054,18.853,3.00171256209,250.425664008,190.0,49.8878,119.4114,113.61,49.8849,187.3646,0.659771942462,-78.3004583375,-67.0572785974,-247.552136449,40.6462748106
002396.SZ,星网锐捷,43.9845652256,3.46594572067,1.411,1.0923,36.3926,36.8606,3.23044686391,23.1758199457,34.4055944056,-32.9624,993.5299,14.38,-32.962,21.4578,10.7439190313,350.234894127,-9.10500277883,-103.612227136,-32.4317217025
002417.SZ,三元达,-42.545538852,10.3283281326,2.6748,-10.4989,27.1538,65.4025,12.8919095297,-7.27708761131,127.272727273,1167.1119,35.5514,35.38,1167.6405,129.6196,-4.78823979066,18.452805437,20.5954743616,400.480506927,170.663001883
002446.SZ,盛路通信,62.9220435381,4.14072465897,2.6634,3.0781,36.9034,21.7081,20.2338338323,0.0583146658184,-57.1428571429,159.823,-36.9849,-23.36,201.8523,-31.4293,4.27558229383,1015.46541038,1191.94675494,229.397925181,291.323513601
002544.SZ,杰赛科技,148.694402477,8.70222187042,0.5153,1.1077,17.4868,14.7711,1.4807589893,179.093443439,25.8675078864,18.8297,-14.5462,1.99,18.8268,17.0457,7.64711382067,-47.819012196,-25.6067711542,-34.5494282296,-41.6406514462
002547.SZ,春兴精工,112.722085849,3.22240948677,0.7652,1.3454,19.1724,14.6637,3.50952406336,5.80963552678,-44.4444444444,-202.6339,-44.0143,-54.12,-214.4269,-67.224,59.1665520097,2.12318304743,-15.6637865943,-306.125608193,-69.3054286833
002792.SZ,通宇通讯,62.3502269143,4.7356762886,3.3626,3.9009,31.5454,17.4291,14.8643237597,12.3077360644,-19.2307692308,-10.2854,-30.731,-33.97,-10.7226,-26.7157,9.38551246792,,,,
300025.SZ,华星创业,52.0913861027,4.05520248413,1.2819,2.4833,28.9017,20.0975,6.82227899741,12.0397056556,-14.2857142857,52.7718,29.4533,-18.02,52.7686,-12.6772,6.17140594795,51.1005781856,-10.6634742001,39.130920956,-26.8455693629
300038.SZ,梅泰诺,81.0297482726,1.84836316109,2.5455,2.7942,30.9758,11.3311,23.9072233346,-5.80557033348,234.985422741,547.4371,333.0152,372.78,845.4193,37.8457,224.061442415,1962.92446923,1574.41322971,215.109941558,211.207335711
300134.SZ,大富科技,-94.3432288049,2.44650673866,-1.2042,-1.7897,15.1953,21.8574,-9.50455526327,-15.5260476141,-271.428571429,-39.0588,-365.1837,-353.17,-28.3806,-177.8423,135.941376395,-125.704147302,-162.824657721,-8.91096031626,-109.71450372
300136.SZ,信维通信,74.1609315173,20.0986595154,11.4201,13.4412,31.1966,9.7568,35.4575491867,-1.66560039547,142.040816327,215.6827,95.0833,89.79,224.102,62.4137,51.3061104316,1226.35551866,1260.73416293,897.509061384,359.187113241
300252.SZ,金信诺,54.9055623165,4.42867231369,2.7675,4.8333,26.7743,13.072,13.386981856,1.68193204977,-6.55555555556,-6680.5556,-2.4197,0.46,-7255.6412,-59.9668,150.418212829,152.751860749,157.846158843,-382.936132306,-24.5590312209
300308.SZ,中际旭创,2682.5545206,5.80210208893,0.6323,0.4172,33.9506,29.3888,5.8912114095,21.6874888636,0.0,-59.4706,153.0615,138.22,-59.4482,-26.0916,0.90339615379,157.621315689,140.685942722,-50.7893797976,225.382585752
300312.SZ,邦讯技术,-49.7560844547,5.66374778748,-0.9543,-2.0985,41.5517,44.1056,-7.76191807118,-44.1102705558,50.0,-21.7812,56.4466,36.07,-21.8092,48.3742,4.18181700766,7.10774540344,-21.567265232,79.1472388369,1.28905150577
300319.SZ,麦捷科技,48.912334453,2.88853526115,1.3879,1.3185,14.0606,8.0195,6.82844066341,0.826184043098,-14.2857142857,-431.6901,-21.2315,-31.8,-1202.2697,-43.2787,74.192623798,175.984885736,145.811468247,-1138.83672461,-49.1902357343
300322.SZ,硕贝德,406.795366446,9.30613994598,-0.7537,0.3793,21.4991,23.2277,-2.28358853642,-17.1868711648,-83.3333333333,66.5118,-138.4836,-53.66,66.5926,-85.3476,6.16887498398,-157.286889177,-90.1592590055,-178.225700902,-70.8510453717
