代码,股票简称,市盈率(TTM|扣除),市净率(最新公告),总资产收益率,净资产收益率(扣除|摊薄),销售毛利率,期间费用率,成本费用利润率,减值损失/营业利润,稀释每股收益(同比增长率),每股经营净现金流量(同比增长率),营业利润(同比增长率),归属母公司净利润(扣除|同比增长率),经营净现金流量(同比增长率),净资产收益率(摊薄|同比增长率),净资产(同比增长率),营业利润(3年增长率),归属母公司净利润(扣除|3年增长率),经营净现金流量(3年增长率),净资产收益率(3年增长率)
000063.SZ,中兴通讯,51.31,3.24,1.78%,5.12%,32.52%,13.69%,5.80%,31.12%,30.95%,-275.44%,565.42%,16.63%,-278.63%,36.55%,-4.94%,1669.45%,109.32%,-688.07%,27.36%
002194.SZ,武汉凡谷,-18.78,4.84,-9.40%,-15.32%,-10.51%,15.84%,-23.44%,-6.54%,-4871.26%,-88.21%,-1684.01%,-7343.53%,-91.20%,-5730.78%,-13.64%,-480.57%,-646.53%,-90.65%,-563.88%
002281.SZ,光迅科技,59.02,5.62,3.56%,5.77%,18.77%,11.42%,7.81%,4.30%,12.25%,-311.43%,30.55%,31.52%,-1136.33%,4.27%,7.58%,96.38%,85.70%,56.14%,5.10%
002313.SZ,日海通讯,189.76,4.62,0.77%,0.27%,22.01%,18.85%,3.00%,250.43%,190.00%,49.89%,119.41%,113.61%,49.88%,187.36%,0.66%,-78.30%,-67.06%,-247.55%,40.65%
002396.SZ,星网锐捷,43.98,3.47,1.41%,1.09%,36.39%,36.86%,3.23%,23.18%,34.41%,-32.96%,993.53%,14.38%,-32.96%,21.46%,10.74%,350.23%,-9.11%,-103.61%,-32.43%
002417.SZ,三元达,-42.55,10.33,2.67%,-10.50%,27.15%,65.40%,12.89%,-7.28%,127.27%,1167.11%,35.55%,35.38%,1167.64%,129.62%,-4.79%,18.45%,20.60%,400.48%,170.66%
002446.SZ,盛路通信,62.92,4.14,2.66%,3.08%,36.90%,21.71%,20.23%,0.06%,-57.14%,159.82%,-36.98%,-23.36%,201.85%,-31.43%,4.28%,1015.47%,1191.95%,229.40%,291.32%
002544.SZ,杰赛科技,148.69,8.70,0.52%,1.11%,17.49%,14.77%,1.48%,179.09%,25.87%,18.83%,-14.55%,1.99%,18.83%,17.05%,7.65%,-47.82%,-25.61%,-34.55%,-41.64%
002547.SZ,春兴精工,112.72,3.22,0.77%,1.35%,19.17%,14.66%,3.51%,5.81%,-44.44%,-202.63%,-44.01%,-54.12%,-214.43%,-67.22%,59.17%,2.12%,-15.66%,-306.13%,-69.31%
002792.SZ,通宇通讯,62.35,4.74,3.36%,3.90%,31.55%,17.43%,14.86%,12.31%,-19.23%,-10.29%,-30.73%,-33.97%,-10.72%,-26.72%,9.39%,-,-,-,-
300025.SZ,华星创业,52.09,4.06,1.28%,2.48%,28.90%,20.10%,6.82%,12.04%,-14.29%,52.77%,29.45%,-18.02%,52.77%,-12.68%,6.17%,51.10%,-10.66%,39.13%,-26.85%
300038.SZ,梅泰诺,81.03,1.85,2.55%,2.79%,30.98%,11.33%,23.91%,-5.81%,234.99%,547.44%,333.02%,372.78%,845.42%,37.85%,224.06%,1962.92%,1574.41%,215.11%,211.21%
300134.SZ,大富科技,-94.34,2.45,-1.20%,-1.79%,15.20%,21.86%,-9.50%,-15.53%,-271.43%,-39.06%,-365.18%,-353.17%,-28.38%,-177.84%,135.94%,-125.70%,-162.82%,-8.91%,-109.71%
300136.SZ,信维通信,74.16,20.10,11.42%,13.44%,31.20%,9.76%,35.46%,-1.67%,142.04%,215.68%,95.08%,89.79%,224.10%,62.41%,51.31%,1226.36%,1260.73%,897.51%,359.19%
300252.SZ,金信诺,54.91,4.43,2.77%,4.83%,26.77%,13.07%,13.39%,1.68%,-6.56%,-6680.56%,-2.42%,0.46%,-7255.64%,-59.97%,150.42%,152.75%,157.85%,-382.94%,-24.56%
300308.SZ,中际旭创,2682.55,5.80,0.63%,0.42%,33.95%,29.39%,5.89%,21.69%,0.00%,-59.47%,153.06%,138.22%,-59.45%,-26.09%,0.90%,157.62%,140.69%,-50.79%,225.38%
300312.SZ,邦讯技术,-49.76,5.66,-0.95%,-2.10%,41.55%,44.11%,-7.76%,-44.11%,50.00%,-21.78%,56.45%,36.07%,-21.81%,48.37%,4.18%,7.11%,-21.57%,79.15%,1.29%
